x,y,class
-7.2352967,27.707253,1
-63.590065,17.804409,0
16.347155,7.537511,0
-15.239992,-17.8985,1
-49.108326,-8.937005,1
77.49367,-25.802496,1
23.490396,2.2569208,1
27.453394,-70.00875,1
37.78073,-64.61528,0
-31.762424,33.160023,0
-83.01098,20.661182,0
22.160965,-54.585228,1
41.433792,-30.303642,1
-54.759205,-51.848923,0
45.139423,-23.418486,1
52.944458,7.129222,1
-29.584877,-54.362404,1
-33.42454,11.964433,1
-57.12174,-43.86538,0
-20.608284,-30.713188,1
59.784092,-44.071987,1
13.654622,40.434685,0
-54.47142,-52.666904,1
10.463149,2.0322409,0
-49.114426,-56.8819,1
33.456947,-5.681143,0
52.976738,20.17555,1
20.660444,6.6750274,0
3.5266483,74.3995,1
-63.72225,17.468458,1
26.65778,-75.11175,1
3.2841449,-60.419197,0
-30.313705,-4.4347277,0
-52.191254,36.347885,1
-75.20514,9.781628,0
17.780443,57.357555,0
46.244297,20.34913,0
-38.913136,-33.069977,1
-43.564278,49.609814,1
11.622714,21.409508,0
-12.903954,-8.34198,0
-53.312096,19.90345,0
14.055719,47.311226,1
-73.18026,7.7751284,1
26.919394,51.19058,1
55.525944,-41.69488,1
1.8967803,-61.846004,1
57.42714,-49.930992,0
-56.970566,-15.26303,0
54.499428,30.197735,1
-15.187783,7.9091806,0
-52.7565,-2.6254666,1
-9.77181,-25.695219,0
2.2063272,71.92839,1
47.944653,61.84477,0
-76.45017,14.8209095,1
2.4339097,-59.533737,1
-29.856281,-56.421627,0
26.771954,56.93912,1
73.570145,-41.74436,0
35.829655,7.979148,0
1.3100711,74.82769,1
-42.805473,12.167487,1
-73.74181,-20.256815,1
-30.406887,-4.361853,1
-61.9879,13.553099,0
-67.48737,40.30255,0
-43.351894,-53.48371,0
-53.402794,10.96405,0
25.96539,27.892673,1
-74.447784,18.77087,1
10.262607,74.118355,0
53.16775,6.646154,1
-31.330824,30.694025,0
3.1218107,76.44271,1
-31.412416,-38.285732,0
-59.357876,-4.259513,0
45.188534,28.396051,1
55.24641,36.741154,1
-70.19363,39.680504,1
-81.21618,35.00218,0
17.796473,-48.26026,0
47.057777,-38.713524,0
