x,y,class
-30.561007,-52.54478,0
41.58204,27.75612,1
44.12061,42.127144,1
-70.23425,-23.788885,0
-57.148075,15.956826,0
62.662304,-11.399985,1
10.483207,64.486824,1
-26.452389,-27.09518,0
25.206413,-14.14541,1
32.86106,-44.32264,1
63.226597,23.396687,1
-21.016005,-22.3993,0
13.661989,-54.699696,1
36.66883,-1.5364274,1
-42.344757,-31.361359,0
-83.89578,12.596184,0
47.77413,-36.99166,1
46.137295,-48.339306,1
-66.21509,-43.96183,0
-57.101784,-19.529669,0
-35.935493,52.596798,0
24.941666,-7.4695525,1
53.208652,-29.030756,1
-18.884575,50.500465,0
-55.46266,37.854877,0
-24.524761,-49.017876,0
63.830418,6.547822,1
6.9608445,63.423656,1
62.65577,-10.458491,1
-61.60933,-35.525803,0
-20.739418,37.43611,0
17.364353,-11.295984,1
5.4914327,80.10554,1
0.86183196,71.76217,1
-19.54297,-25.848787,0
-44.612938,-32.38835,0
-64.024734,24.754875,0
-10.350357,15.912056,0
27.7846,58.77226,1
-52.6187,-10.799881,0
-5.9357967,-68.45394,1
-46.059586,16.071262,0
16.715372,44.105602,1
4.239459,-66.45575,1
40.30308,27.917986,1
37.95507,-16.77704,1
-24.515856,51.382805,0
-63.71572,-15.763115,0
-10.1938095,-33.704647,0
12.800885,-66.14144,1
29.588291,-16.007,1
-23.166704,10.415298,0
41.153774,-63.779343,1
71.23657,12.8032055,1
-50.77354,44.205105,0
-41.423878,7.511804,0
-36.654778,-33.304916,0
-30.561062,31.902138,0
30.528194,54.36148,1
32.122925,-39.068897,1
-7.0960484,-2.3841393,0
-7.1434374,-66.17542,1
-82.77748,7.131404,0
37.97116,12.245954,1
11.036537,34.62134,1
34.566795,-0.23724078,1
-18.721952,15.013191,0
-34.768547,2.5656118,0
53.028267,25.368446,1
-71.071014,6.454343,0
49.980774,-22.588896,1
-62.140633,-50.65579,0
75.10858,23.932667,1
-1.5604465,-8.3057575,0
70.91547,-15.71885,1
79.15477,-11.376315,1
-13.103296,-25.236391,0
57.19531,42.743645,1
42.060047,-60.83174,1
-24.329996,-15.035555,0
-55.022804,-2.0349278,0
62.56824,34.65392,1
17.945719,55.98191,1
37.18981,-38.961857,1
15.135765,-10.953403,1
-46.45095,-28.203642,0
-37.486324,-0.528107,0
-49.778805,-16.02453,0
39.933224,-24.81417,1
-30.07699,51.862625,0
-37.660828,-51.838303,0
-7.026721,-35.615665,0
-51.165936,-27.171997,0
49.99564,-36.626564,1
-25.845562,52.68256,0
19.871672,58.275227,1
36.708244,-9.837934,1
-20.61835,43.795662,0
-39.593338,50.92112,0
-53.720512,-11.07034,0
-44.816177,53.50386,0
-35.08781,-56.263294,0
-34.04022,-23.190805,0
-62.075787,-21.458265,0
27.947208,68.71025,1
-63.219093,-47.606915,0
-0.92937595,43.374706,1
1.6004316,38.10811,1
-5.853189,-23.677057,0
-49.027393,-47.836296,0
50.09416,32.404755,1
52.670883,48.305145,1
32.21208,-71.8086,1
-46.642357,-18.558651,0
34.879265,0.15659478,1
4.3416533,73.27956,1
34.976017,-57.286346,1
40.72709,-11.756996,1
-72.02177,34.354492,0
-23.972746,51.08722,0
52.608017,-51.484806,1
-18.039251,-38.277584,0
17.707872,31.02087,1
-22.03553,-16.779161,0
75.30673,-11.357896,1
34.93786,-56.7629,1
