x,y,class
-46.3017,-8.0785,0
8.403675,-46.588448,1
-29.62773,-4.464212,0
-69.22346,36.38103,0
16.595787,-38.339424,1
-24.438026,-11.255509,0
6.993777,-77.79396,1
-55.839302,-46.7427,0
15.629786,-37.863117,1
12.319186,-42.51255,1
63.415684,26.783718,1
-32.34952,-28.582558,0
-41.48547,-19.031609,0
-56.951363,-30.885223,0
-39.830994,-48.9543,0
-3.095747,81.816986,1
31.187727,-68.17716,1
-38.03641,54.384335,0
-76.0485,-23.596292,0
30.725336,-69.89151,1
-76.60551,-24.647303,0
27.455976,-78.60934,1
26.73402,-70.871956,1
21.248953,8.757764,1
-31.024916,-29.73799,0
40.01953,-66.31904,1
-45.69118,-62.59166,0
-51.08611,-41.71554,0
29.68395,-73.43651,1
-22.116362,-36.929985,0
-40.904743,-52.682827,0
3.0869696,-47.60302,1
29.527647,-65.25829,1
-58.150883,-36.16322,0
11.111794,65.78905,1
-47.058964,-54.905216,0
11.481702,31.129005,1
-42.86204,60.1245,0
39.53704,-65.93085,1
-53.160236,-59.09802,0
-22.513796,-36.098206,0
64.513145,47.458652,1
19.163897,-68.97901,1
52.794765,7.4056196,1
-59.010983,-34.0653,0
32.33188,-53.346134,1
-24.065304,5.665949,0
-61.747616,49.89316,0
-67.42941,-26.67626,0
36.226414,-55.76108,1
-46.003094,36.9669,0
64.73656,-1.7725171,1
-28.785826,52.165646,0
-34.277985,-4.638847,0
35.978355,-80.032166,1
43.498116,52.305275,1
58.424286,47.69269,1
67.01387,-34.482758,1
8.023476,-73.01472,1
-7.577812,16.846193,0
-35.72411,12.763097,0
56.263542,-57.54133,1
41.01151,-50.88341,1
38.002617,33.71015,1
30.828646,-47.985664,1
-57.783928,-2.930104,0
-29.235907,-4.265113,0
39.456886,-51.523342,1
-64.49398,39.51319,0
-52.476048,-37.129147,0
20.183008,-76.71488,1
43.543068,-0.44450715,1
17.05578,-69.00381,1
-6.158189,14.406095,0
40.149952,-67.21,1
44.43167,13.029735,1
-5.0154157,-3.7829714,0
18.146955,-4.0398297,1
-19.832369,-10.041897,0
37.052837,-68.39129,1
-31.752497,-61.757492,0
26.487595,17.605875,1
-38.584362,-36.470657,0
21.106241,-22.031517,1
1.9066594,64.118484,1
-37.21377,-36.88694,0
25.33463,-21.595682,1
58.90567,8.424365,1
-66.5883,-3.1263072,0
8.675726,-38.640823,1
30.953096,27.266184,1
56.642426,53.320206,1
68.69728,37.877487,1
15.491832,17.553522,1
27.563847,31.213476,1
14.678694,-19.240856,1
-46.0857,-52.314198,0
16.05465,-19.867285,1
14.438995,-19.336504,1
18.937185,7.769067,1
-38.969433,-39.699093,0
-36.439236,37.72263,0
20.095808,-28.495163,1
7.6210213,-39.727417,1
-75.223885,-21.372978,0
-37.206024,-37.52272,0
31.80603,58.056705,1
-37.334557,-36.99225,0
-84.13582,-11.365777,0
4.590347,-42.51418,1
-41.23545,2.3056664,0
-24.22431,20.316792,0
15.519124,-20.622683,1
-38.912193,-3.3447497,0
-30.336346,6.9032555,0
14.1982155,-19.083727,1
-35.48852,-38.118916,0
-35.3304,43.399067,0
-35.756477,-38.223885,0
26.72014,61.519985,1
-62.660927,-20.548363,0
8.211215,-82.74564,1
-76.04788,-28.41353,0
9.072665,-56.62677,1
-52.593674,-26.056307,0
34.364666,-38.174873,1
33.66498,44.36679,1
8.283723,84.80584,1
0.7158719,-9.208513,0
45.362995,-1.7474873,1
39.77452,-49.974056,1
-48.81615,-27.424671,0
4.521998,70.40958,1
-47.127655,3.325025,0
31.164295,-47.59226,1
-69.9029,-9.012276,0
-42.548737,2.8213363,0
63.53643,-6.1212435,1
9.409685,-54.16156,1
-68.42729,-2.3631425,0
-22.3125,5.615009,0
-23.165634,-57.1471,0
-59.989456,-15.159743,0
37.430225,-52.77127,1
30.319818,-78.82319,1
15.639186,46.376293,1
-60.882378,14.181068,0
-40.979942,50.474613,0
1.3915468,-68.13103,1
13.066776,62.28718,1
31.696426,59.54959,1
-69.23932,-8.391501,0
-5.7144837,1.2816573,0
41.731655,-75.15116,1
-48.971817,30.735752,0
-51.6571,49.659622,0
18.016228,-83.39529,1
-20.326668,-57.266666,0
15.907319,-80.53279,1
-44.740864,-22.803057,0
-22.033678,20.282192,0
65.741554,2.999112,1
-58.539528,-2.9057977,0
-31.375938,20.393885,0
40.189117,-48.05033,1
49.100758,26.235176,1
-20.370361,26.031994,0
46.847706,-22.367933,1
51.72711,56.034206,1
63.58687,-12.238332,1
-40.909912,29.274532,0
48.864136,-37.90516,1
-3.462229,71.41168,1
-67.99528,-6.5595713,0
76.35205,-22.521206,1
39.954323,-43.077034,1
-26.633451,6.9266043,0
7.869454,77.556244,1
69.17588,-21.413113,1
50.347057,-14.725208,1
47.922787,50.01041,1
-57.324932,2.292253,0
75.59112,-20.250849,1
-36.237545,2.6865754,0
6.1523776,52.361702,1
-36.139313,-33.289997,0
46.30816,59.567513,1
46.657207,-20.576263,1
-42.27955,33.239716,0
-48.577866,34.60178,0
-46.881897,38.4433,0
26.23599,-9.394944,1
-2.4012496,13.309024,0
-60.330063,8.634437,0
-50.82033,27.33206,0
-57.552555,4.6241837,0
14.86743,79.90913,1
51.78014,-29.547318,1
-42.609505,-33.023575,0
-67.68564,11.844514,0
-36.638863,58.632248,0
61.35394,-25.862818,1
39.19979,-65.404724,1
21.300037,48.15381,1
-65.86041,6.872206,0
39.689693,44.71458,1
-71.56245,-5.2752614,0
39.57165,-39.08447,1
-28.310102,-1.4795213,0
2.8322756,74.15131,1
18.12324,17.517511,1
-36.442432,4.894856,0
19.983007,7.156895,1
7.881332,-49.031975,1
-23.518942,22.38332,0
-63.84802,45.173588,0
-14.95082,-17.584513,0
59.13086,5.550286,1
-39.92444,-15.679141,0
-30.86615,-61.90969,0
-17.28456,-17.768328,0
8.949053,-37.442142,1
55.7843,25.15093,1
11.178496,-45.7801,1
-77.94614,31.814325,0
-56.258293,23.591928,0
-40.829433,-10.9268055,0
-43.25608,8.276142,0
73.833244,11.5544815,1
22.405327,57.526806,1
57.909344,23.77893,1
-67.32051,-10.538163,0
-42.137615,-5.5563664,0
-30.846056,-1.3882387,0
65.90271,-16.334173,1
25.44174,4.6347146,1
-69.16181,13.88632,0
-42.23036,5.982498,0
5.850636,63.683434,1
-42.947147,0.13174053,0
53.262947,57.880543,1
36.011013,35.315636,1
15.433966,-21.174412,1
-5.109679,79.2319,1
23.27702,-35.43259,1
35.219475,-45.91007,1
-45.633408,8.270116,0
-74.001564,9.065933,0
-34.7286,-55.5794,0
-42.32508,5.9635134,0
-11.276085,-1.3212568,0
-23.848497,-33.17182,0
63.526344,-19.905685,1
-55.25032,2.2410836,0
52.293243,-27.269213,1
16.018826,55.746544,1
-46.40771,-11.850457,0
-8.598151,5.6547875,0
41.942486,4.9746437,1
48.65671,-56.87011,1
-4.477133,14.099864,0
-9.977939,2.4244025,0
61.531685,-25.611462,1
37.905388,-23.328428,1
13.124128,28.303917,1
63.64045,18.235579,1
-12.852397,-28.549953,0
-56.863247,24.76535,0
59.7585,-5.206795,1
29.950392,19.791237,1
35.494278,-7.9064984,1
-51.49836,-16.446255,0
30.323423,52.68836,1
25.890827,-47.04841,1
67.23939,-27.860458,1
44.484917,34.642002,1
-28.661463,20.969265,0
-44.496044,-58.37191,0
-36.68778,41.232403,0
29.897228,17.923363,1
71.09557,6.5786004,1
1.8157326,58.398186,1
-38.683178,-27.53604,0
43.24576,47.25947,1
58.879074,8.621565,1
-30.67715,1.7747363,0
-27.375547,33.747738,0
18.654621,46.39313,1
-23.49437,39.876915,0
40.270344,63.639374,1
-7.987396,8.874385,0
-17.509003,-51.23077,0
-52.67173,25.6724,0
67.21885,-18.248919,1
3.2040112,71.77857,1
24.948872,47.91592,1
-0.7021969,12.668329,0
15.9824915,78.10254,1
43.80086,41.54818,1
-20.261292,26.234884,0
18.583797,44.25965,1
-6.0307074,7.44466,0
-56.20405,-11.499783,0
36.121433,-74.16667,1
21.942543,52.28331,1
-48.842167,40.089294,0
-77.753334,33.227203,0
-68.72996,6.9077525,0
7.0321035,-59.02784,1
49.78772,-12.522711,1
35.0359,46.013752,1
36.496544,67.69728,1
-67.34377,5.8198953,0
34.117737,-4.886747,1
9.438001,-75.806145,1
31.069462,-67.54537,1
-57.520554,49.26827,0
-61.290417,-25.53295,0
-73.87429,-22.392733,0
8.29099,25.515894,1
-54.067795,-10.722711,0
12.223353,-77.89293,1
8.706431,-73.930275,1
15.521843,-29.600525,1
26.5228,-83.60533,1
-2.7073994,79.178856,1
-58.125954,-48.750538,0
-34.868862,-54.6701,0
