x,y,class
47.613106,-53.05096,1
49.055954,35.116074,1
-13.506594,4.242344,0
-34.82955,-9.682918,0
-61.515118,30.309856,0
-26.930883,-6.067984,0
-53.038963,-40.556763,0
-54.11731,36.628384,0
15.994987,70.01114,1
-69.32777,-4.814569,0
40.921696,24.341715,1
41.67446,-37.512295,1
-44.890812,17.923403,0
-54.467762,45.771564,0
38.635906,0.52070445,1
-23.591646,-60.97009,0
18.360065,-43.413975,1
39.48973,-51.37029,1
44.36406,-56.2433,1
-33.325035,-13.086701,0
-37.13655,-50.23655,0
-47.41176,-7.318115,0
-82.91507,16.879059,0
-2.239032,51.31127,1
11.576601,-52.768803,1
-70.76576,18.155558,0
6.067052,26.665804,1
-45.486187,-53.899265,0
42.254047,-63.164062,1
-48.43162,-8.80618,0
9.830441,18.348948,1
10.654939,-58.98491,1
46.031372,68.313644,1
8.033633,57.432835,1
-2.8519847,-6.911422,0
4.320492,61.02955,1
43.50464,-41.119576,1
-33.73504,26.848694,0
79.8339,1.5566963,1
-29.487202,15.839545,0
69.27081,20.102428,1
62.584064,33.006874,1
7.628185,48.284836,1
-39.587524,-42.276073,0
18.839605,-31.666801,1
-47.970875,-40.323914,0
-25.41125,34.589474,0
-43.82827,3.42087,0
-26.723635,-67.1171,1
39.530334,51.890175,1
37.606945,-16.48984,1
51.381668,25.880398,1
-45.5614,22.401924,0
15.450455,63.381702,1
80.824036,9.093103,1
39.17461,-19.937616,1
26.640053,-13.346359,1
6.920264,25.926472,1
-41.688908,-59.33667,0
85.22703,10.691628,1
-25.548676,-0.15573987,0
-74.81704,-0.61570907,0
-35.856678,-58.99046,0
47.06131,-67.63729,1
-85.65379,8.919829,0
44.516876,-33.22628,1
24.62688,-40.169098,1
-22.151358,-43.520763,0
20.065987,55.36452,1
-52.573277,-22.286596,0
-62.51751,-54.36798,0
-39.25543,28.596695,0
26.16144,28.764082,1
36.73721,-1.1630412,1
9.9035635,46.64673,1
-29.345581,-45.951973,0
-69.58925,16.962566,0
-42.23341,-43.58384,0
-40.538986,-55.25858,0
22.783026,-26.434187,1
-35.69201,46.7012,0
2.0998085,49.54707,1
-34.633278,-15.484909,0
15.916609,-22.387486,1
2.8221934,38.96864,1
46.683884,11.690159,1
-31.793694,-53.68937,0
-82.214584,-9.602984,0
10.521958,31.135298,1
-29.795107,3.0316837,0
-22.833418,-52.503746,0
34.66185,38.258408,1
40.77713,21.674393,1
-21.280764,-28.29218,0
-34.57022,46.140762,0
-80.10096,6.8549166,0
-75.38617,23.631985,0
-74.80327,-1.5579437,0
-79.2797,-14.804121,0
-49.10361,-47.9558,0
-65.096725,-40.112885,0
-27.006971,2.8239477,0
53.569427,-26.397503,1
41.76122,2.637323,1
-26.361599,29.38196,0
-32.388287,-12.370665,0
22.818577,-20.521696,1
-68.317375,-32.5165,0
36.941147,39.9721,1
-21.70475,7.8631954,0
-30.199495,-5.4321876,0
27.990997,50.25025,1
43.73825,-9.804356,1
26.801483,-11.883777,1
-49.492447,48.57344,0
39.31371,-2.045247,1
-67.65396,31.249863,0
-31.244125,-59.251534,0
68.82619,-33.29707,1
35.237686,-3.20885,1
45.467476,-12.045753,1
