,x,y,activation_0,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,activation_8,activation_9,class_association,average_activation,layer
80,35.014114,20.152306,43,51,9,60,50,13,30,20,6,12,0.0,0.4541546,1
81,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
82,1.9815652,-4.725174,9,51,13,34,47,43,10,60,33,50,0.0,0.2983826,1
83,-13.728056,-24.551506,14,58,61,27,28,31,3,26,29,2,0.3,0.21464376,1
84,8.991409,0.60133904,51,9,60,43,30,13,6,10,50,12,0.0,0.36275974,1
85,35.945377,8.891186,43,51,6,20,30,64,60,18,40,50,0.0,0.46682453,1
86,-19.202276,-22.729391,58,47,26,27,2,63,5,45,42,19,0.2,0.22590457,1
87,-12.209064,-16.35973,14,13,55,27,3,34,58,61,24,9,0.3,0.06364602,1
88,-7.4839363,-15.87821,14,9,56,24,3,15,36,25,1,2,0.1,0.5110202,1
89,2.7295532,0.7078079,51,9,34,50,10,60,17,12,25,6,0.0,0.49354702,1
90,47.171528,-3.4413226,51,43,6,60,30,50,12,10,64,20,0.0,0.49359733,1
91,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
92,-37.4998,15.824174,14,65,64,63,61,62,59,58,57,60,0.2,0.16835178,1
93,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
94,30.242956,6.249741,64,6,5,44,38,22,11,8,39,42,0.0,0.18447585,1
95,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
96,-13.582107,-23.291204,14,27,58,26,29,2,3,31,61,24,0.3,0.21312454,1
97,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
98,-20.492262,-25.139763,28,26,42,2,11,63,35,49,0,21,0.0,0.12768345,1
99,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
100,9.660499,-0.8211052,51,43,60,9,6,30,50,10,13,12,0.0,0.094861716,2
101,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
102,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
103,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
104,-35.03694,-3.2927,27,29,64,65,63,62,59,58,61,60,0.2,0.713199,2
105,0.908338,-7.2068553,14,9,28,13,51,43,50,34,60,3,0.1,0.21535777,2
106,-33.407013,-8.015382,14,55,24,3,61,15,64,65,62,63,0.1,0.41834018,2
107,-2.0215178,-8.716722,24,9,56,48,14,2,34,15,6,51,0.1,0.10669576,2
108,-36.591183,13.847857,14,65,64,63,61,62,59,58,57,60,0.2,0.42020607,2
109,-33.44422,13.138746,28,42,64,65,61,63,59,58,57,62,0.1,0.53469455,2
110,-48.37316,-8.077966,27,58,14,61,29,65,64,60,62,63,0.3,0.71668315,2
111,47.178123,-1.2808838,51,43,60,6,30,64,20,50,9,12,0.0,0.093651876,2
112,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
113,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
114,-14.024681,-27.3216,14,28,61,31,3,29,25,35,36,27,0.2,0.4749873,2
115,-31.635717,13.256256,0,65,64,63,61,62,59,58,57,60,0.1,0.5078959,2
116,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
117,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
118,43.995483,6.3220263,43,51,6,30,60,64,20,50,18,12,0.0,0.17457175,2
119,-10.592176,-26.776304,14,0,31,29,28,16,26,1,3,2,0.1,0.31560892,2
120,-11.4484625,29.056774,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
121,48.344753,0.46240833,51,43,60,6,30,9,50,20,64,12,0.0,0.093651876,2
122,34.686337,11.180865,51,43,60,9,6,18,20,33,30,64,0.0,0.30214357,2
123,-34.255196,14.761571,29,58,64,65,61,63,60,59,57,62,0.1,0.51607895,2
124,-11.4484625,29.056774,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
125,-36.637516,-4.8411536,27,29,26,65,64,63,59,62,61,60,0.1,0.71473324,2
126,33.69032,9.838666,6,51,60,64,30,43,20,9,37,40,0.0,0.09403567,2
127,28.001028,-33.830524,51,43,60,6,30,9,50,64,20,10,0.0,0.09521385,2
128,8.991409,0.60133904,51,43,60,9,30,6,50,10,13,12,0.0,0.094861716,2
129,8.991409,0.60133904,51,43,60,9,50,6,30,10,12,13,0.0,0.094861716,2
130,-11.4484625,29.056774,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
131,-32.71366,-17.606438,14,61,29,31,28,58,64,65,62,63,0.2,0.63767403,2
132,34.6362,10.115201,43,51,60,6,9,20,64,30,18,37,0.0,0.17452675,2
133,27.47329,-36.700916,51,43,60,6,30,9,64,50,20,10,0.0,0.09521385,2
134,-11.4484625,29.056774,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
135,-14.003571,-25.628622,28,61,27,14,26,29,58,31,2,25,0.3,0.47237548,2
136,30.387115,5.8470387,22,40,64,53,6,38,5,19,23,39,0.0,0.3515839,2
137,-11.4484625,29.056774,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
138,39.10409,33.077915,51,43,60,9,6,30,50,10,12,20,0.0,0.094861716,2
139,34.36933,30.504614,51,43,60,6,30,9,50,10,12,20,0.0,0.094861716,2
140,-20.851702,-24.006172,26,63,11,49,19,22,42,5,53,2,0.0,0.5900884,2
141,-11.4484625,29.056774,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
142,-11.4484625,29.056774,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
143,-8.738142,-23.747837,25,29,28,0,32,1,31,56,16,59,0.0,0.32396725,2
144,10.624767,0.3360966,51,43,60,9,30,6,50,10,13,12,0.0,0.094861716,2
145,-2.5339346,-6.0753613,9,34,51,17,25,59,10,50,60,63,0.0,0.30974618,2
146,-14.663013,-25.020971,27,14,58,26,29,61,2,0,31,28,0.3,0.5634234,2
147,-11.4484625,29.056774,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
148,-18.848648,-21.11241,26,58,27,61,2,29,47,51,63,30,0.2,0.6551334,2
149,35.815216,32.001472,51,43,60,9,6,30,50,10,12,20,0.0,0.094861716,2
150,-37.53476,14.168825,14,65,64,63,61,62,59,58,57,60,0.2,0.42020607,2
151,36.28637,10.524283,43,51,60,6,30,20,64,50,9,18,0.0,0.17470266,2
152,5.691661,-6.8615565,9,51,43,60,34,13,50,30,6,10,0.0,0.09486171,2
153,-41.91974,-10.772642,1,25,26,29,2,65,64,63,61,62,0.0,0.5157907,2
154,-11.4484625,29.056774,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
155,-36.56678,14.9745865,14,65,64,63,61,62,59,58,57,60,0.2,0.42020607,2
156,-39.703365,-27.496645,14,61,58,31,27,29,64,65,62,63,0.3,0.71612215,2
157,-48.37316,-8.077966,14,27,58,29,61,65,64,60,62,63,0.3,0.71668315,2
158,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
159,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
160,-15.679239,-24.445393,58,27,14,61,29,31,26,28,2,65,0.3,0.47224948,2
161,5.691661,-6.8615565,51,9,43,60,50,34,30,6,10,13,0.0,0.094861716,2
162,10.060163,1.7447422,51,43,60,9,6,30,50,10,12,13,0.0,0.094861716,2
163,37.326176,33.62574,51,43,60,9,6,30,50,20,10,12,0.0,0.094861716,2
164,31.779152,4.0668097,21,19,4,23,22,53,30,41,43,65,0.0,0.17689145,2
165,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
166,7.626151,0.68394,51,43,60,30,6,10,13,12,9,50,0.0,0.094861716,2
167,-33.9294,-21.342897,58,14,61,27,29,31,28,65,64,62,0.3,0.6189801,2
168,-8.827518,38.34112,58,65,64,63,61,62,60,59,57,56,0.1,0.4173268,2
169,32.665066,4.9980836,30,22,4,20,40,65,43,64,47,45,0.0,0.025385804,2
170,-10.249587,-23.36591,14,28,24,27,61,56,29,1,2,25,0.2,0.47068316,2
171,5.691661,-6.8615565,51,9,43,60,13,30,34,10,50,6,0.0,0.094861716,2
172,48.918232,-0.25610447,51,43,60,6,30,50,9,64,20,12,0.0,0.093651876,2
173,43.995483,6.3220263,43,51,6,60,30,64,20,50,18,12,0.0,0.17457175,2
174,-39.703365,-27.496645,27,58,14,61,29,31,64,65,62,63,0.3,0.71612215,2
175,3.4011295,-1.46042,13,51,9,43,50,10,12,60,34,6,0.0,0.094861716,2
176,37.326176,33.62574,51,43,60,9,6,30,50,10,20,12,0.0,0.094861716,2
177,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
178,34.670998,12.425842,43,51,9,60,6,13,30,64,20,18,0.0,0.17452675,2
179,-48.737926,-6.4037247,27,58,61,14,29,65,64,60,62,63,0.3,0.71668315,2
180,2.7818198,-1.1598091,51,9,10,50,13,17,60,34,12,6,0.0,0.09390422,2
181,-13.728056,-24.551506,14,27,29,58,31,61,26,28,3,2,0.3,0.47224945,2
182,-33.686962,-2.8036458,28,27,64,65,63,62,59,58,61,60,0.2,0.7331385,2
183,-12.337383,-23.407469,14,27,31,3,58,2,26,56,29,1,0.3,0.303488,2
184,43.93695,-13.735653,51,43,6,60,30,50,9,10,12,64,0.0,0.09521385,2
185,-34.854965,-21.869513,14,27,58,29,61,31,26,65,64,62,0.3,0.5012178,2
186,-13.051935,-25.116333,58,27,14,61,29,26,28,31,2,1,0.3,0.47224948,2
187,-11.242548,-15.785703,9,47,24,34,58,13,27,51,2,61,0.2,0.33793432,2
188,-12.443985,-26.314568,14,28,2,26,25,27,1,29,31,65,0.2,0.4223056,2
189,33.442493,16.41575,43,51,60,9,30,13,20,55,37,24,0.0,0.09246441,2
190,-20.074095,-24.97334,28,26,25,42,17,11,63,27,2,35,0.1,0.7175057,2
191,10.060163,1.7447422,51,43,60,9,30,10,50,6,13,12,0.0,0.094861716,2
192,10.624767,0.3360966,51,43,60,6,9,30,50,10,13,12,0.0,0.094861716,2
193,33.735146,6.8802695,43,51,20,40,30,6,65,64,53,60,0.0,0.09402498,2
194,-33.833763,9.917376,25,28,26,65,64,63,59,62,61,60,0.0,0.53705406,2
195,36.28637,10.524283,43,51,60,30,6,20,64,50,18,9,0.0,0.17470266,2
196,35.381035,34.27956,51,43,60,9,6,30,50,20,10,12,0.0,0.094861716,2
197,-51.468563,-7.3848004,14,61,29,31,27,65,64,63,62,60,0.2,0.717446,2
198,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.4173268,2
199,-43.433586,-9.161316,58,27,26,29,64,65,60,63,61,62,0.2,0.71473324,2
200,-41.521873,-26.57517,27,14,58,29,61,31,64,65,62,63,0.3,0.72626114,3
201,-38.508656,-28.96229,27,58,29,61,31,14,64,65,62,63,0.3,0.72626114,3
202,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
203,-39.866795,-25.39789,58,27,14,61,31,29,64,65,62,63,0.3,0.72626114,3
204,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
205,36.28637,10.524283,51,43,60,6,30,64,20,9,50,18,0.0,0.3830507,3
206,-39.866795,-25.39789,27,58,29,61,14,31,64,65,62,63,0.3,0.72626114,3
207,30.724386,-33.03077,51,43,60,6,30,9,50,20,64,10,0.0,0.52281654,3
208,-36.559784,16.109537,14,65,64,63,61,62,59,58,57,60,0.2,0.7336053,3
209,-44.796127,-8.833904,58,27,29,61,31,65,64,60,62,63,0.2,0.7693316,3
210,30.724386,-33.03077,51,43,60,6,30,9,50,20,10,64,0.0,0.5228166,3
211,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
212,40.386436,-15.573674,51,43,60,6,9,30,50,10,13,64,0.0,0.5815909,3
213,35.815216,32.001472,51,43,60,6,30,9,50,10,12,20,0.0,0.5795677,3
214,30.724386,-33.03077,51,43,60,6,30,9,50,64,20,10,0.0,0.5228166,3
215,-41.521873,-26.57517,58,27,61,14,29,31,64,65,62,63,0.3,0.72626114,3
216,43.078564,-13.848455,51,43,60,6,30,9,50,10,64,12,0.0,0.6500186,3
217,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
218,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
219,48.025375,-0.6152728,51,43,60,6,30,9,20,64,50,12,0.0,0.5102527,3
220,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
221,7.064783,-6.8689504,51,43,9,60,6,30,50,10,13,18,0.0,0.5111399,3
222,35.381035,34.27956,51,43,60,6,30,9,50,20,10,12,0.0,0.5795677,3
223,5.691661,-6.8615565,51,43,9,60,30,10,6,13,50,34,0.0,0.5115242,3
224,30.724386,-33.03077,51,43,60,6,30,9,50,10,20,64,0.0,0.5228166,3
225,-41.562504,-24.91844,27,58,29,61,14,31,64,65,62,63,0.3,0.72626114,3
226,35.381035,34.27956,51,43,60,6,9,30,50,10,20,12,0.0,0.5795677,3
227,-47.471085,-6.712364,14,27,58,29,64,65,60,63,61,62,0.3,0.90710366,3
228,22.594673,-38.341236,51,43,60,6,30,9,50,20,64,10,0.0,0.52281654,3
229,22.594673,-38.341236,51,43,60,6,30,9,50,20,10,64,0.0,0.5228166,3
230,42.677807,-12.992294,51,43,60,6,9,30,50,10,12,64,0.0,0.6500186,3
231,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
232,-48.37316,-8.077966,27,14,58,29,64,65,60,63,61,62,0.3,0.90710366,3
233,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
234,-48.37316,-8.077966,14,58,27,61,29,65,64,60,62,63,0.3,0.90710366,3
235,43.995483,6.3220263,43,51,6,60,30,64,50,18,20,12,0.0,0.5095641,3
236,48.002106,-1.4320093,51,43,60,6,30,50,9,20,64,12,0.0,0.5102527,3
237,43.995483,6.3220263,43,51,6,60,30,20,64,18,50,12,0.0,0.5095641,3
238,22.594673,-38.341236,51,43,60,6,30,9,50,20,10,64,0.0,0.5228166,3
239,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
240,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
241,36.297012,11.330594,43,51,60,9,6,30,20,18,64,50,0.0,0.38305068,3
242,33.35895,5.279286,43,20,18,41,60,64,30,40,65,23,0.0,0.52932996,3
243,-14.576374,-23.863005,14,27,58,29,61,31,26,1,2,0,0.3,0.78977144,3
244,22.594673,-38.341236,51,43,60,6,30,9,50,20,10,64,0.0,0.5228166,3
245,22.594673,-38.341236,51,43,60,6,30,9,50,10,64,20,0.0,0.5228166,3
246,8.625374,2.0110846,51,43,60,9,6,30,13,50,10,12,0.0,0.63834196,3
247,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
248,37.326176,33.62574,51,43,60,9,6,30,50,10,20,12,0.0,0.5795677,3
249,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
250,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
251,-48.37316,-8.077966,27,58,29,14,64,65,60,63,61,62,0.3,0.90710366,3
252,23.215832,-30.498093,51,43,60,6,30,9,50,64,20,10,0.0,0.5228166,3
253,-41.271282,-28.676302,27,58,14,61,29,31,64,65,62,63,0.3,0.72626114,3
254,-33.117596,16.188745,58,19,22,65,64,63,60,59,61,62,0.1,0.9099638,3
255,38.579834,34.92074,51,43,60,9,6,30,50,10,12,20,0.0,0.5795677,3
256,-6.033277,27.845108,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
257,-38.789547,-22.32447,27,58,61,29,31,26,64,65,62,63,0.2,0.8415618,3
258,8.213203,-0.66745937,51,43,60,9,6,30,50,10,13,12,0.0,0.63834196,3
259,-1.6421236,31.484543,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
260,35.815216,32.001472,51,43,60,6,30,9,50,10,12,20,0.0,0.5795677,3
261,46.5924,-0.67995036,51,43,60,6,30,9,50,20,64,12,0.0,0.5102527,3
262,-1.6421236,31.484543,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
263,43.995483,6.3220263,43,51,6,60,30,50,20,64,18,12,0.0,0.50956416,3
264,35.381035,34.27956,51,43,60,6,30,9,50,20,12,10,0.0,0.5795677,3
265,27.072231,-32.352432,51,43,60,6,30,9,50,20,64,10,0.0,0.52281654,3
266,-37.740177,-27.722805,27,58,29,61,14,31,64,65,62,63,0.3,0.72626114,3
267,-1.6421236,31.484543,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
268,-1.6421236,31.484543,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
269,-8.588013,-14.690939,9,34,14,24,47,48,2,59,56,15,0.1,0.49559677,3
270,8.991409,0.60133904,51,43,60,50,9,6,30,12,10,13,0.0,0.6383419,3
271,-33.915028,-4.6719537,27,58,14,65,64,63,60,59,61,62,0.3,0.7332049,3
272,-6.7883396,34.560368,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
273,-16.021933,-25.162346,27,58,61,29,14,31,26,1,28,65,0.3,0.98612946,3
274,-41.521873,-26.57517,27,58,14,29,61,31,64,65,62,63,0.3,0.72626114,3
275,-6.7883396,34.560368,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
276,-6.7883396,34.560368,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
277,30.176598,-36.498417,51,43,60,6,30,9,50,20,64,10,0.0,0.52281654,3
278,-6.7883396,34.560368,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
279,35.87027,36.22571,51,43,60,9,6,30,50,20,10,12,0.0,0.5795677,3
280,6.189346,3.1180816,51,43,60,30,10,9,6,12,50,34,0.0,0.5799519,3
281,24.629017,-28.344046,51,43,60,6,30,9,50,20,64,10,0.0,0.52281654,3
282,-34.349216,-5.9855857,14,27,26,65,64,63,59,62,61,60,0.2,0.9333334,3
283,-6.7883396,34.560368,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
284,-1.6421236,31.484543,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
285,33.169147,34.530403,51,43,60,6,9,30,50,10,12,20,0.0,0.5795677,3
286,43.882908,-12.807698,51,43,60,6,30,9,50,10,12,64,0.0,0.6500186,3
287,-1.6421236,31.484543,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
288,37.845295,31.470148,51,43,60,6,30,9,50,20,10,12,0.0,0.5795677,3
289,47.321033,0.11466524,51,43,60,6,30,9,50,20,64,12,0.0,0.5102527,3
290,26.540852,-30.28854,51,43,60,6,30,9,50,10,20,64,0.0,0.5228166,3
291,37.845295,31.470148,51,43,60,6,30,9,50,10,20,12,0.0,0.5795677,3
292,-8.77988,32.619724,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
293,-49.70266,-7.117012,27,58,29,61,14,65,64,60,62,63,0.3,0.90710366,3
294,26.058725,-37.395252,51,43,60,6,30,9,50,20,10,64,0.0,0.5228166,3
295,-41.271282,-28.676302,14,27,58,29,31,65,64,63,61,62,0.3,0.72626114,3
296,9.660499,-0.8211052,51,43,60,30,9,6,10,13,50,12,0.0,0.638342,3
297,-39.88088,-29.477634,27,14,58,29,61,31,64,65,62,63,0.3,0.72626114,3
298,-5.006778,30.377043,65,64,63,62,61,60,59,58,57,56,0.1,0.59583324,3
299,25.188028,-33.260353,51,43,60,9,6,30,50,20,64,10,0.0,0.52281654,3
300,-34.49358,15.54207,27,58,64,65,61,63,60,59,57,62,0.2,0.805403,4
301,-48.37316,-8.077966,27,58,29,61,14,65,64,60,62,63,0.3,0.82970005,4
302,37.845295,31.470148,51,43,60,6,9,30,50,10,20,12,0.0,0.62929404,4
303,25.188028,-33.260353,51,43,60,6,30,9,50,20,64,10,0.0,0.8660601,4
304,42.890198,-12.039734,51,43,60,6,30,9,50,10,64,12,0.0,0.85860044,4
